,f_9,f_14,f_18,f_27,f_69,f_76,f_78,f_94,f_104,f_107,f_110,f_122,f_128,f_129,f_130,f_145,f_156,f_165,f_174,f_175,f_176,f_179,f_196,f_197,f_200,f_206,f_213,f_219,f_222,f_224,f_232,f_235,f_249,f_272,f_279,f_294,f_295,f_296,target
17,0.3372,0.7373,-0.8857,-0.801,-0.01822,0.3008,-0.1307,-0.762,0.7573,-0.878,0.0354,-0.2869,0.223,0.7017,-0.05533,0.09344,0.739,-0.2131,-0.6675,-1.0,-0.633,-0.2393,-0.0949,-0.3667,0.0,0.2252,1.475,0.7847,0.7183,0.9062,-0.943,-1.711,-0.1149,0.0,-0.8228,-0.9785,-0.38,1.283,-4.863
18,-0.2898,-0.6704,0.843,3.684,0.3994,0.0962,-0.0354,0.0709,-0.6323,0.8574,-1.472,-0.56,0.542,0.893,-0.4675,0.0692,-0.671,-0.03056,0.427,0.0,-0.7134,-0.1775,-0.03802,-0.376,1.0,0.4001,1.427,-0.6787,-0.156,-0.011185,-0.613,-0.1813,-0.00643,1.0,0.5596,-1.108,-0.3862,1.118,-0.9053
19,-0.1082,-2.389,1.216,1.85,-0.3335,0.402,-0.2104,-0.5703,-2.17,-0.541,-0.03268,5.168,-5.535,1.104,0.1516,0.141,-2.387,-3.654,-0.2092,-1.0,0.7324,-0.3193,-2.193,-0.927,-1.0,0.2627,-2.805,0.3098,0.3384,4.895,-0.6763,-4.215,-4.168,-1.0,-0.626,0.752,-0.4768,-1.172,-0.1493
20,1.959,0.215,-0.531,1.751,-0.03836,-0.03177,-0.0652,-1.437,0.2174,0.3044,-3.922,-1.338,-0.0585,0.4502,-0.153,0.1361,0.2173,-0.385,-0.3723,-1.0,-1.982,-0.573,0.2869,-0.591,0.0,0.709,0.5244,0.2703,1.338,0.0448,-0.5005,-0.965,-0.1028,0.0,-0.6436,-2.695,-0.581,-1.26,-0.777
21,0.2013,-1.134,1.252,0.8823,-0.285,0.3574,-0.03152,-2.283,-1.055,0.2869,-0.8984,-1.287,0.18,0.568,0.2072,0.1106,-1.135,-0.1661,-0.851,0.0,-0.418,-0.10394,-0.1971,-0.5493,1.0,0.2876,0.722,0.9277,0.913,-0.02158,-0.579,-0.03348,-0.1063,1.0,-0.9634,-1.017,-0.54,1.048,1.301
22,0.565,-1.739,1.79,0.7344,-0.7446,0.696,-0.0829,-1.582,-1.616,-1.089,0.1036,0.2783,-0.2856,0.069,0.7075,0.1361,-1.739,-0.2898,-0.443,-1.0,-0.743,-0.4714,-1.084,-0.7646,0.0,0.03323,0.3762,0.6226,0.6895,-0.01366,-0.7344,-0.493,-0.1487,0.0,-0.776,-1.42,-0.5054,0.1415,0.3503
23,1.588,2.06,-1.914,0.995,1.424,-1.479,0.3647,-2.96,2.094,-1.471,-0.3157,0.2957,1.496,0.988,-1.512,0.0753,2.06,0.3223,-2.125,-1.0,0.7217,0.2976,-1.31,1.604,1.0,1.655,2.756,2.041,-0.355,0.1114,0.3767,-0.789,0.1836,1.0,-1.68,0.6484,-0.4832,1.273,-0.715
24,-0.63,0.3164,-0.56,-1.133,-0.6865,0.683,-0.0782,-1.289,0.3237,2.018,-0.4878,1.471,-0.5776,0.3442,0.7,0.1407,0.3198,-0.3179,-0.3147,0.0,1.007,-0.06964,0.2426,-0.574,0.0,0.02866,0.2394,0.313,-0.544,-0.1971,-0.4248,1.697,-0.1266,0.0,-0.648,1.004,-0.5376,-1.096,-0.2432
25,-0.709,0.3877,-0.6562,1.087,-0.5654,0.545,-0.06366,-1.001,0.4006,0.2583,1.661,-0.4668,-0.592,0.504,0.6094,0.1469,0.3916,-0.3464,-0.3745,-1.0,0.641,0.03995,0.482,-0.619,1.0,0.1447,0.45,0.549,-0.06076,-0.04633,-0.219,-0.7026,-0.0822,1.0,-0.762,0.689,-0.489,-0.3022,-0.7075
26,-0.9194,-0.8047,0.8765,-0.201,-0.4248,0.526,-0.0342,-1.546,-0.7827,0.5576,-0.6357,-0.4033,0.2178,0.687,0.3914,0.1255,-0.8066,-0.189,-0.9927,-1.0,-0.4883,-0.5576,0.3123,-0.48,1.0,0.1597,-1.314,-0.768,0.2301,-0.0822,1.808,-0.5054,-0.0957,1.0,0.6846,-0.883,-0.5293,-1.27,-0.0707
27,-0.1538,-1.017,0.992,1.706,-1.081,1.175,-0.0836,0.2249,-0.973,-0.7417,-0.3582,0.867,-0.2559,-0.284,1.007,0.1221,-1.019,-0.1946,0.5854,0.0,1.016,-0.3533,0.1641,-0.5396,0.0,-0.2573,-1.726,-1.025,1.9795,-0.1714,-0.44,-0.3706,-0.1501,0.0,1.3545,1.041,-0.6245,0.1149,0.4749
28,-0.111,-0.558,0.7827,1.198,0.2637,-0.1302,-0.00329,-1.508,-0.5366,-1.022,-0.208,-0.4678,0.7524,1.015,-0.3213,0.0978,-0.5615,0.0671,-0.01881,-1.0,0.62,0.09454,-0.2803,-0.3374,1.0,0.7017,-0.0335,-0.5205,1.198,-0.0639,-0.4143,-1.274,-0.05066,1.0,0.687,0.619,-0.527,1.051,-0.4768
29,-2.162,-0.7715,0.9204,-0.8936,0.1643,0.2568,-0.06915,-0.4023,-0.748,-0.4873,-0.893,-0.4429,0.5054,1.103,-0.2219,0.0884,-0.774,-0.0349,0.474,0.0,0.9014,-0.1521,-0.4053,-0.4458,0.0,0.477,-0.1827,-0.807,0.12463,-0.0542,-0.5713,0.2184,0.006325,0.0,0.6367,1.033,-0.5903,0.724,0.4795
30,-0.811,-1.013,1.075,-1.386,-0.3738,0.599,-0.11664,-0.3555,-0.9834,-0.6885,0.4358,0.425,-0.2086,0.511,0.2678,0.1289,-1.015,-0.0975,-0.5537,-1.0,0.7954,-0.355,-0.997,-0.6055,0.0,-0.048,-1.326,-1.094,0.2096,-0.1016,-0.3123,-0.29,0.03693,0.0,0.8203,0.825,-0.5103,-0.2837,0.8354
31,0.266,-0.2974,1.227,-0.354,0.967,-1.029,0.621,-0.816,-0.2903,-1.07,-0.128,-1.161,1.306,1.471,-1.017,0.0779,-0.3003,0.589,-0.4622,0.0,0.3433,0.07275,0.1974,-0.1992,0.0,1.233,2.658,-0.2742,1.304,-0.1042,-0.3667,-0.683,0.0,0.0,0.3062,0.3472,-0.5625,-0.8145,0.737
32,-1.474,0.7773,-0.91,1.1045,-0.05777,0.4631,-0.0923,-1.234,0.786,-0.2484,-0.3904,-0.1824,0.3652,0.9478,0.0931,0.1497,0.7793,-0.1924,-0.2954,-1.0,-1.566,-0.2126,0.01036,-0.2255,0.0,0.1605,1.613,0.613,0.7656,-0.12195,-0.7803,1.19,-0.1476,0.0,-0.767,2.05,-0.761,0.7515,0.95
33,1.727,1.72,-1.484,0.871,0.994,-1.354,0.08044,-2.385,1.75,0.577,1.289,0.517,1.25,1.186,-1.016,0.09973,1.72,0.3723,-1.93,-1.0,0.8804,0.538,0.54,1.748,1.0,1.456,2.316,1.822,-1.492,0.01147,-0.712,-0.5073,0.1554,1.0,-1.556,1.125,-0.6797,1.064,-1.455
34,-0.928,0.592,-0.8423,0.8696,-0.205,0.781,-0.41,0.907,0.6025,1.838,-0.0843,0.621,-0.618,0.638,0.3042,0.1304,0.5947,-0.188,-0.2368,0.0,1.003,0.0,-0.8843,-0.762,0.0,-0.1569,-0.945,-1.874,-0.511,-0.0769,-0.4297,1.585,-0.08716,0.0,-0.711,-0.9883,-0.6597,-0.369,-1.221
35,-0.722,-2.727,2.637,0.4377,-1.637,1.523,-0.1223,1.12,-2.615,0.5645,1.511,-0.6313,-1.669,-0.2429,1.659,0.1462,-2.72,-0.355,-0.3613,-1.0,-1.221,-1.291,0.2058,-1.031,1.0,-0.785,-2.28,-2.695,0.9473,0.0681,-0.951,-0.4534,-0.1444,1.0,2.482,-1.439,-0.575,-1.415,0.11
36,0.0001836,-0.864,0.7676,0.7515,-1.022,1.1455,-0.0782,1.635,-0.8174,-1.968,-0.4016,0.6885,-0.212,-0.1539,1.095,0.108,-0.8657,-0.2351,-0.568,0.0,1.05,-0.4263,1.308,-0.472,0.0,-0.2983,-1.762,-1.019,0.4578,0.1328,1.04,-1.236,-0.1478,0.0,1.094,1.152,-0.524,1.293,-0.487
37,0.0804,1.3125,-1.491,-0.8706,-0.2656,0.5,0.002752,0.3516,1.34,-1.118,-1.187,0.2404,0.714,0.5903,0.2722,0.05862,1.3125,-0.10956,0.1918,-1.0,-0.751,-0.11,-0.247,-0.3442,0.0,0.2394,0.3428,-0.6924,2.105,-0.2155,-1.144,-0.6353,-0.0656,0.0,0.6562,-0.9526,-0.4956,1.421,-0.2294
38,0.421,-1.01,1.092,0.3337,-0.5063,0.5312,-0.1536,-0.527,-0.949,-0.651,-0.4167,0.6553,0.0424,0.357,0.4294,0.1268,-1.012,-0.1586,-0.5312,-1.0,0.846,-0.3025,0.11206,-0.53,0.0,0.1812,-0.554,-1.076,0.751,-0.1248,-1.022,-0.533,-0.11633,0.0,1.249,-1.085,-0.5186,0.02692,-0.505
39,0.07025,-0.775,0.8574,-0.5176,-0.2598,0.4138,-0.02411,0.006245,-0.7393,-1.041,-0.298,-0.503,0.1583,0.735,0.2113,0.106,-0.7783,-0.0631,0.2177,-1.0,0.7744,-0.129,-1.138,-0.4336,1.0,0.3115,-0.7656,-0.7354,0.9443,-0.24,-0.537,-0.5283,-0.06116,1.0,0.7505,0.825,-0.552,1.138,-0.803
40,1.676,-0.2864,-0.2369,-1.813,-1.152,1.507,-0.002539,1.016,-0.2803,-0.5674,-0.3318,1.405,-0.552,-0.9946,1.082,0.0548,-0.2893,-0.6904,-0.345,-1.0,0.3455,-0.13,0.1122,-0.1935,0.0,-0.6855,-1.073,-0.3145,1.136,-0.1134,-0.543,-0.01894,-0.2603,0.0,0.334,0.3645,-0.572,-1.092,0.2803
41,-0.9707,-1.168,1.332,2.45,-0.3835,0.5684,-0.01703,-0.1836,-1.109,-0.296,0.1454,-0.1766,0.2026,0.5317,0.3713,0.0748,-1.169,-0.011986,-0.8003,-1.0,-0.7153,-0.3289,-0.1189,-0.5815,1.0,0.2006,0.3784,-1.27,0.729,0.2551,-0.3145,-1.41,-0.02737,1.0,1.61,-0.6216,-0.667,-0.6597,0.4824
42,0.2708,1.038,-1.081,0.993,0.1886,-0.06213,-0.009796,-1.402,1.062,-1.119,-1.138,-0.2847,0.5957,0.9507,-0.2021,0.093,1.04,0.02588,-0.71,-1.0,-1.3955,0.1128,0.01328,0.2107,0.0,0.698,1.418,0.942,0.2139,-0.3901,-0.5986,-0.3958,-0.03848,0.0,-1.023,-0.671,-0.613,0.9336,-0.4128
43,-0.398,0.5,-0.5586,-0.8394,-0.0808,0.3809,-0.11163,-0.6177,0.5146,0.9,-0.1237,0.4011,0.3218,1.007,-0.02534,0.1142,0.5024,-0.1921,-0.578,-1.0,0.79,-0.07526,1.347,-0.0849,0.0,0.4678,0.3591,0.504,-0.4626,-0.1615,-0.0718,0.3787,-0.0973,0.0,-0.769,0.7964,-0.5454,-0.2615,-0.2189
44,-0.238,-0.793,0.848,0.6704,-0.6646,0.7354,-0.03793,-0.3154,-0.748,0.7095,0.4385,0.02982,-0.08203,0.3728,0.616,0.08826,-0.7954,-0.0423,-0.9077,-1.0,-1.541,-0.267,-0.1503,-0.446,1.0,0.10345,-0.5073,-0.919,0.2141,-0.1985,-0.659,-0.07166,-0.009445,1.0,1.008,-0.982,-0.4827,-1.08,-0.09576
45,-1.245,0.297,-0.4746,1.135,-0.3987,0.7046,-0.175,-0.2712,0.3042,-0.951,0.09106,0.002804,0.07104,0.872,0.3977,0.1252,0.302,-0.3105,-0.258,0.0,0.5503,-0.116,-0.5796,-0.4,1.0,0.1246,0.3923,0.3286,0.9233,-0.174,-0.3528,-0.3975,-0.1461,1.0,-0.7114,0.534,-0.5693,-0.1879,0.2361
46,0.887,0.923,-1.061,0.4167,0.10004,0.3428,-0.03075,0.4167,0.9463,0.3289,-0.3083,0.114,0.3452,1.018,-0.1384,0.1062,0.9243,-0.1938,0.311,-1.0,0.945,0.3723,0.2566,-0.2869,0.0,0.469,0.2188,0.9478,0.53,-0.2328,-0.5127,-0.5527,-0.09766,0.0,-1.029,-0.895,-0.4807,0.9326,0.4893
47,1.273,1.05,-1.16,0.422,0.4568,-0.03378,-0.08856,-1.481,1.065,-0.94,-0.439,-0.3735,0.5957,1.126,-0.57,0.127,1.053,-0.133,-0.5264,-1.0,0.811,0.2051,0.442,-0.07983,1.0,0.6772,0.7666,0.9707,0.543,-0.2146,-0.4946,-0.2874,-0.1176,1.0,-1.033,0.858,-0.4224,0.09106,0.4124
48,-0.3772,-0.12286,1.512,-1.132,-0.08923,-0.07086,0.1396,-0.6143,-0.8237,0.8975,0.0879,-0.5254,0.2795,1.436,-0.728,-1.7,-0.89,0.69,-0.4485,-1.078,0.8457,-0.1373,-0.659,0.4536,-0.1249,-0.3145,0.928,0.04398,0.0603,-0.1646,-0.7188,-0.3672,-0.05344,0.1698,0.1578,0.7017,-0.5015,1.758,0.07654
49,-0.558,1.189,0.04047,-1.085,-0.3093,1.146,-0.307,-2.254,-0.162,-0.3906,1.122,-0.3223,0.641,1.175,-0.476,-0.743,0.975,-0.0263,-0.785,-1.172,1.917,0.722,-0.91,-0.2737,-0.1043,-0.0737,1.497,1.005,0.04742,-0.0373,-0.7734,0.09393,-0.08655,0.2458,-0.9185,0.5728,-0.623,0.971,0.5566
50,1.96,1.053,-1.128,0.743,0.1906,1.065,-0.1299,-1.573,0.703,0.8003,1.305,0.515,0.654,0.8994,-0.588,-1.602,1.449,0.5312,-1.023,-1.297,1.232,1.006,0.362,-0.19,0.51,-0.010025,1.693,2.66,0.9204,-0.1305,-0.5874,-1.415,0.3315,1.286,-1.119,0.57,-0.478,1.396,0.6177
51,2.277,2.527,-0.963,-0.438,0.6025,0.0788,-0.1075,-0.5713,0.773,1.194,0.973,0.828,0.9185,0.8687,-0.1831,-1.273,1.966,0.1461,-1.511,-1.051,1.004,2.148,0.04376,0.9805,-0.2566,0.2421,1.201,3.393,-1.496,-0.1191,-0.6245,-0.38,0.684,0.006355,-1.786,1.048,-0.4553,2.37,0.3794
52,1.372,2.098,-1.77,-0.2695,-0.4177,0.3289,-0.1653,-1.008,0.8306,0.833,1.076,0.6514,1.148,0.836,0.1199,-0.31,1.776,1.168,-0.8003,-1.1875,1.877,1.926,-2.39,0.785,-0.02348,-0.3237,0.1768,3.225,-0.372,0.1039,-0.0674,-0.2532,1.255,-0.1339,-1.644,0.3433,-0.492,3.049,-0.02386
53,-0.05814,0.208,0.5576,1.298,-0.4849,0.8887,-0.1044,0.0266,-1.387,1.231,0.7197,0.06525,-0.1028,0.1826,-0.338,1.051,-0.699,1.2295,-0.463,-1.423,-1.053,-0.3877,-1.313,0.007835,0.765,-0.8135,-0.65,1.469,-0.236,-0.2915,0.132,-0.3906,1.354,1.159,-0.555,1.22,-0.5146,0.4246,0.6675
54,1.015,0.625,0.773,-1.027,0.9316,0.2214,-0.0253,-2.629,0.1394,0.3047,0.5737,0.2448,0.4966,-0.00376,-0.3906,-0.05124,-0.681,0.8335,-0.3193,-1.159,1.297,0.0552,-0.1317,0.4124,-0.21,0.2979,0.1913,1.983,0.4883,-0.06094,0.7236,-1.56,0.75,-0.02611,0.3188,0.2463,-0.4934,1.1,1.072
55,0.805,1.733,-0.8516,-1.651,0.2578,-0.9673,-0.0555,-3.012,1.877,-0.4604,-0.2292,0.291,1.119,0.7383,-0.1548,-0.6177,2.225,0.0668,-1.825,-1.412,-0.536,1.971,-0.264,2.42,0.8325,1.073,0.0588,3.658,1.075,0.01343,-0.6694,0.542,1.2,0.571,-2.08,-1.151,-0.3774,-1.357,-0.9927
56,-1.211,0.2808,-1.347,-0.6787,-1.227,1.061,-0.287,1.774,0.587,0.808,0.88,2.041,-1.128,0.3013,0.7075,0.994,-0.12134,-0.1361,1.758,-1.163,-0.5303,0.37,-0.00536,0.4216,0.817,-0.887,-2.098,2.166,-0.3972,-0.1827,-1.164,1.332,0.528,0.982,-1.5625,-1.476,-0.4497,-1.141,-0.81
57,-0.9077,-0.1527,0.7085,-0.5737,-1.479,1.672,-0.01475,0.77,-0.3137,0.2874,1.188,0.2235,-0.687,0.0833,1.0205,-0.443,-1.001,1.307,-0.6772,-0.3855,0.3496,0.271,1.191,0.0967,1.036,-0.9307,-1.653,0.873,-0.3936,0.2006,0.512,-1.247,0.01967,0.6216,0.1875,-0.9497,-0.5117,-0.8154,-0.4543
58,-0.979,-1.323,0.4683,-0.1935,-1.463,1.188,-0.0108,0.8237,0.4507,-0.4355,0.02037,-0.0795,-0.1833,0.0668,1.176,0.06094,-1.003,-0.525,-0.1189,-1.281,1.775,0.3862,0.8096,-0.3965,-1.185,-0.7974,-1.603,0.8774,0.7725,-0.2507,0.5596,-0.006325,0.687,-1.228,-0.3813,1.441,-0.3677,1.542,0.0631
59,0.1628,-0.0513,-0.841,1.0625,-0.597,0.4392,-0.1263,-1.821,0.7563,-0.2455,-1.083,0.01092,-0.05072,1.123,1.183,0.5576,0.228,-0.693,-0.836,-1.306,-0.7007,0.6685,0.7163,0.678,0.7456,-0.01395,1.453,2.432,1.455,-0.1979,-1.117,-0.833,-0.4902,0.7207,-1.014,-1.06,-0.562,1.713,-0.636
60,0.04108,-0.668,-0.9233,1.031,0.4429,0.9316,-0.1077,-0.5786,1.0205,1.053,-0.6543,-0.3274,-0.09796,1.105,0.0347,1.512,1.037,-0.4097,-0.621,-1.197,0.6733,-0.559,1.022,-0.517,-0.2178,0.331,1.046,1.9375,1.228,-0.1892,-0.778,0.02835,0.11884,-0.11554,-1.429,0.6963,-0.511,-0.1367,-0.10944
61,1.29,0.1147,-0.551,-2.385,0.239,1.2,-0.29,-3.076,1.702,0.238,-0.9385,-0.03024,0.988,1.04,0.573,3.322,0.1066,0.1478,-1.161,-1.018,1.233,0.3325,0.883,-0.997,-0.2137,0.4949,1.109,1.95,0.2686,-0.0434,-1.546,-0.2888,1.157,-0.6426,-1.608,0.7217,-0.4465,0.6284,0.02907
62,0.1288,-1.081,1.633,-0.6987,0.4106,1.479,-0.357,0.763,-0.4888,-0.01016,0.231,-1.142,0.2864,0.8965,0.409,-1.021,-1.398,-0.978,0.1912,0.032,2.0,0.2444,-0.3054,-0.969,0.772,-0.23,0.5073,0.382,0.149,-0.1833,-0.9385,0.2363,0.2761,0.531,0.9,1.086,-0.4932,0.7324,-0.158
63,1.995,0.3806,-1.901,2.344,0.339,-0.2487,-0.2932,-0.641,2.42,-1.012,-0.422,-0.439,0.4385,0.706,1.24,1.151,1.711,0.104,-1.256,0.00435,1.2,0.6387,-1.394,-0.4675,-0.0673,-0.3027,1.766,2.908,1.45,-0.3235,-1.361,0.211,1.79,-0.1984,-1.538,1.033,-0.4617,0.07275,-0.434
64,-0.7847,-1.528,1.345,2.879,-0.791,2.305,-0.449,1.515,-1.252,1.309,-0.1351,-1.03,-0.7305,-0.2383,2.273,1.528,-1.63,-0.4192,1.056,-1.181,-0.2454,-0.4055,0.04254,-0.835,-0.3516,-1.094,-1.279,-0.06238,-0.954,-0.08923,-0.4438,1.007,0.496,-0.3037,2.092,-0.5376,-0.3818,-0.03925,-0.5923
65,0.08435,0.52,0.891,1.773,0.2351,0.4487,-0.3577,-1.65,0.586,-1.838,0.4004,-0.604,0.3574,0.828,0.6147,0.7944,0.3071,0.3867,-0.4207,-0.9253,0.7505,0.762,-1.082,-0.03397,-0.611,-0.7544,-1.276,1.031,0.5684,-0.0757,-1.035,-0.5063,0.778,0.5117,0.4746,0.8755,-0.3782,0.793,-0.04276
66,1.952,-1.359,0.876,-0.3774,0.1705,0.512,-0.2329,-1.434,0.03162,-1.308,-1.87,0.774,0.0685,0.89,1.101,-1.145,-1.155,0.11597,-1.1,-1.112,-0.3306,0.182,-0.6167,-0.4255,-0.2793,-0.659,0.1405,0.8345,0.59,0.08167,-1.058,1.296,0.5654,-0.0641,1.292,-0.288,-0.4844,-0.3474,-0.117
67,-0.5376,-0.7896,0.7935,-0.9116,-0.467,0.848,-0.2279,-1.067,-0.319,-1.8125,0.3208,-0.11676,0.0539,1.899,0.3916,-0.1597,-0.508,0.3528,0.0899,-0.5576,0.889,-0.1399,-0.5303,-0.0912,-0.3809,-0.496,-1.355,0.504,0.98,-0.1388,-0.8477,-0.0398,0.1602,-0.07697,1.072,1.231,-0.5786,0.819,-0.5967
68,0.4468,0.9087,-0.59,-0.4978,0.3918,0.637,-0.2725,-1.443,2.148,-1.456,-0.552,-0.7925,-0.137,1.304,0.8105,1.768,1.024,-1.23,-0.947,0.3452,-0.574,0.06155,0.1445,0.2355,-0.4543,-0.3186,1.652,2.459,0.3745,0.05444,-0.416,-0.10333,-0.05557,0.3523,-0.733,-1.01,-0.428,0.7915,0.2026
